"DISEASE";"DISEASE_DESCRIPTION";"WHO_zone";"YEAR";"Total_Cases";"ANTIGEN_DESCRIPTION";"ANTIGEN";"Target";"Doses"
"CRS";"Congenital rubella syndrome";"EUR";2004.0;32.0;"Rubella-containing vaccine, 1st dose";"RCV1";5045953.0;4551103.0
"CRS";"Congenital rubella syndrome";"EUR";2005.0;16.0;"Rubella-containing vaccine, 1st dose";"RCV1";4671806.0;4328469.0
"CRS";"Congenital rubella syndrome";"EUR";2006.0;16.0;"Rubella-containing vaccine, 1st dose";"RCV1";4675220.0;4418652.0
"CRS";"Congenital rubella syndrome";"EUR";2007.0;31.0;"Rubella-containing vaccine, 1st dose";"RCV1";6739072.0;6418920.0
"CRS";"Congenital rubella syndrome";"EUR";2008.0;9.0;"Rubella-containing vaccine, 1st dose";"RCV1";5705646.0;5435029.0
"CRS";"Congenital rubella syndrome";"EUR";2009.0;16.0;"Rubella-containing vaccine, 1st dose";"RCV1";7169737.0;6827365.0
"CRS";"Congenital rubella syndrome";"EUR";2010.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";6928465.0;6482427.0
"CRS";"Congenital rubella syndrome";"EUR";2011.0;7.0;"Rubella-containing vaccine, 1st dose";"RCV1";6787090.0;6571267.0
"CRS";"Congenital rubella syndrome";"EUR";2012.0;62.0;"Rubella-containing vaccine, 1st dose";"RCV1";6760277.0;6428834.0
"CRS";"Congenital rubella syndrome";"EUR";2013.0;49.0;"Rubella-containing vaccine, 1st dose";"RCV1";7743060.0;7488533.0
"CRS";"Congenital rubella syndrome";"EUR";2014.0;28.0;"Rubella-containing vaccine, 1st dose";"RCV1";7225130.0;6926858.0
"CRS";"Congenital rubella syndrome";"EUR";2015.0;14.0;"Rubella-containing vaccine, 1st dose";"RCV1";8090893.0;7766680.0
"CRS";"Congenital rubella syndrome";"EUR";2016.0;6.0;"Rubella-containing vaccine, 1st dose";"RCV1";8371199.0;7893862.0
"CRS";"Congenital rubella syndrome";"EUR";2017.0;17.0;"Rubella-containing vaccine, 1st dose";"RCV1";9054174.0;8647578.0
"CRS";"Congenital rubella syndrome";"EUR";2018.0;14.0;"Rubella-containing vaccine, 1st dose";"RCV1";8844791.0;8483285.0
"CRS";"Congenital rubella syndrome";"EUR";2019.0;8.0;"Rubella-containing vaccine, 1st dose";"RCV1";7802844.0;7426539.0
"CRS";"Congenital rubella syndrome";"EUR";2020.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";8453534.0;7853484.0
"CRS";"Congenital rubella syndrome";"EUR";2021.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";7589800.0;7436083.0
"CRS";"Congenital rubella syndrome";"EUR";2022.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";7334956.0;6885578.0
"CRS";"Congenital rubella syndrome";"SEAR";2004.0;20.0;"Rubella-containing vaccine, 1st dose";"RCV1";349144.0;326948.0
"CRS";"Congenital rubella syndrome";"SEAR";2006.0;2.0;"Rubella-containing vaccine, 1st dose";"RCV1";502040.0;457705.0
"CRS";"Congenital rubella syndrome";"SEAR";2009.0;3.0;"Rubella-containing vaccine, 1st dose";"RCV1";388584.0;353310.0
"CRS";"Congenital rubella syndrome";"SEAR";2010.0;8.0;"Rubella-containing vaccine, 1st dose";"RCV1";372334.0;353762.0
"CRS";"Congenital rubella syndrome";"SEAR";2011.0;3.0;"Rubella-containing vaccine, 1st dose";"RCV1";21791.0;20764.0
"CRS";"Congenital rubella syndrome";"SEAR";2012.0;14.0;"Rubella-containing vaccine, 1st dose";"RCV1";3308114.0;590205.0
"CRS";"Congenital rubella syndrome";"SEAR";2013.0;23.0;"Rubella-containing vaccine, 1st dose";"RCV1";3699059.0;3962221.0
"CRS";"Congenital rubella syndrome";"SEAR";2014.0;86.0;"Rubella-containing vaccine, 1st dose";"RCV1";4369439.0;4586350.0
"CRS";"Congenital rubella syndrome";"SEAR";2015.0;183.0;"Rubella-containing vaccine, 1st dose";"RCV1";4965608.0;5345608.0
"CRS";"Congenital rubella syndrome";"SEAR";2016.0;319.0;"Rubella-containing vaccine, 1st dose";"RCV1";4181006.0;4585558.0
"CRS";"Congenital rubella syndrome";"SEAR";2017.0;754.0;"Rubella-containing vaccine, 1st dose";"RCV1";12490476.0;8003484.0
"CRS";"Congenital rubella syndrome";"SEAR";2018.0;342.0;"Rubella-containing vaccine, 1st dose";"RCV1";30178591.0;27856222.0
"CRS";"Congenital rubella syndrome";"SEAR";2019.0;358.0;"Rubella-containing vaccine, 1st dose";"RCV1";36588859.0;33479158.0
"CRS";"Congenital rubella syndrome";"SEAR";2020.0;248.0;"Rubella-containing vaccine, 1st dose";"RCV1";36632194.0;32501160.0
"CRS";"Congenital rubella syndrome";"SEAR";2021.0;401.0;"Rubella-containing vaccine, 1st dose";"RCV1";36092596.0;32152136.0
"CRS";"Congenital rubella syndrome";"SEAR";2022.0;554.0;"Rubella-containing vaccine, 1st dose";"RCV1";35923742.0;35194923.0
"CRS";"Congenital rubella syndrome";"WPR";2004.0;3.0;"Rubella-containing vaccine, 1st dose";"RCV1";1273787.0;1260743.0
"CRS";"Congenital rubella syndrome";"WPR";2005.0;1.0;"Rubella-containing vaccine, 1st dose";"RCV1";576470.0;508601.0
"CRS";"Congenital rubella syndrome";"WPR";2007.0;174.0;"Rubella-containing vaccine, 1st dose";"RCV1";1178299.0;1150323.0
"CRS";"Congenital rubella syndrome";"WPR";2008.0;4.0;"Rubella-containing vaccine, 1st dose";"RCV1";1545359.0;1508539.0
"CRS";"Congenital rubella syndrome";"WPR";2009.0;11.0;"Rubella-containing vaccine, 1st dose";"RCV1";1679619.0;1569596.0
"CRS";"Congenital rubella syndrome";"WPR";2011.0;201.0;"Rubella-containing vaccine, 1st dose";"RCV1";18659930.0;18283137.0
"CRS";"Congenital rubella syndrome";"WPR";2012.0;137.0;"Rubella-containing vaccine, 1st dose";"RCV1";21073889.0;20799702.0
"CRS";"Congenital rubella syndrome";"WPR";2013.0;48.0;"Rubella-containing vaccine, 1st dose";"RCV1";23053981.0;22143394.0
"CRS";"Congenital rubella syndrome";"WPR";2014.0;12.0;"Rubella-containing vaccine, 1st dose";"RCV1";24198427.0;22792743.0
"CRS";"Congenital rubella syndrome";"WPR";2015.0;5.0;"Rubella-containing vaccine, 1st dose";"RCV1";25592700.0;23738529.0
"CRS";"Congenital rubella syndrome";"WPR";2016.0;19.0;"Rubella-containing vaccine, 1st dose";"RCV1";21140062.0;19834272.0
"CRS";"Congenital rubella syndrome";"WPR";2017.0;22.0;"Rubella-containing vaccine, 1st dose";"RCV1";7454338.0;6015620.0
"CRS";"Congenital rubella syndrome";"WPR";2018.0;36.0;"Rubella-containing vaccine, 1st dose";"RCV1";24433701.0;22574236.0
"CRS";"Congenital rubella syndrome";"WPR";2019.0;23.0;"Rubella-containing vaccine, 1st dose";"RCV1";21730328.0;20575937.0
"CRS";"Congenital rubella syndrome";"WPR";2020.0;14.0;"Rubella-containing vaccine, 1st dose";"RCV1";21864462.0;20764235.0
"CRS";"Congenital rubella syndrome";"WPR";2021.0;13.0;"Rubella-containing vaccine, 1st dose";"RCV1";19431661.0;17915671.0
"CRS";"Congenital rubella syndrome";"WPR";2022.0;33.0;"Rubella-containing vaccine, 1st dose";"RCV1";16523691.0;15265156.0
"DIPHTHERIA";"Diphtheria";"AFR";1999.0;226.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";14914200.0;7775211.0
"DIPHTHERIA";"Diphtheria";"AFR";2000.0;4038.0;"DTP-containing vaccine, 1st dose";"DTPCV1";18788959.0;11029029.0
"DIPHTHERIA";"Diphtheria";"AFR";2000.0;4038.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";21563669.0;11122910.0
"DIPHTHERIA";"Diphtheria";"AFR";2001.0;2587.0;"DTP-containing vaccine, 1st dose";"DTPCV1";17601317.0;11930472.0
"DIPHTHERIA";"Diphtheria";"AFR";2001.0;2587.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";19164867.0;11402991.0
"DIPHTHERIA";"Diphtheria";"AFR";2002.0;941.0;"DTP-containing vaccine, 1st dose";"DTPCV1";24393940.0;15367179.0
"DIPHTHERIA";"Diphtheria";"AFR";2002.0;941.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";24845976.0;13217110.0
"DIPHTHERIA";"Diphtheria";"AFR";2003.0;216.0;"DTP-containing vaccine, 1st dose";"DTPCV1";19659448.0;16222143.0
"DIPHTHERIA";"Diphtheria";"AFR";2003.0;216.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";20173873.0;14258753.0
"DIPHTHERIA";"Diphtheria";"AFR";2004.0;23.0;"DTP-containing vaccine, 1st dose";"DTPCV1";20566271.0;17499241.0
"DIPHTHERIA";"Diphtheria";"AFR";2004.0;23.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";21097902.0;15756323.0
"DIPHTHERIA";"Diphtheria";"AFR";2005.0;54.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";26639946.0;19114204.0
"DIPHTHERIA";"Diphtheria";"AFR";2005.0;54.0;"DTP-containing vaccine, 1st dose";"DTPCV1";25303695.0;20154634.0
"DIPHTHERIA";"Diphtheria";"AFR";2006.0;351.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";27156734.0;22335361.0
"DIPHTHERIA";"Diphtheria";"AFR";2006.0;351.0;"DTP-containing vaccine, 1st dose";"DTPCV1";26628824.0;24524129.0
"DIPHTHERIA";"Diphtheria";"AFR";2007.0;17.0;"DTP-containing vaccine, 1st dose";"DTPCV1";27173367.0;24295880.0
"DIPHTHERIA";"Diphtheria";"AFR";2007.0;17.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";28114418.0;22912446.0
"DIPHTHERIA";"Diphtheria";"AFR";2008.0;72.0;"DTP-containing vaccine, 1st dose";"DTPCV1";26697505.0;24755369.0
"DIPHTHERIA";"Diphtheria";"AFR";2008.0;72.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";28360751.0;23849476.0
"DIPHTHERIA";"Diphtheria";"AFR";2009.0;10.0;"DTP-containing vaccine, 1st dose";"DTPCV1";28930268.0;26197981.0
"DIPHTHERIA";"Diphtheria";"AFR";2009.0;10.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";29327633.0;24090115.0
"DIPHTHERIA";"Diphtheria";"AFR";2010.0;50.0;"DTP-containing vaccine, 1st dose";"DTPCV1";28970982.0;26679016.0
"DIPHTHERIA";"Diphtheria";"AFR";2010.0;50.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";29573827.0;24760268.0
"DIPHTHERIA";"Diphtheria";"AFR";2011.0;13.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";30590113.0;25311275.0
"DIPHTHERIA";"Diphtheria";"AFR";2011.0;13.0;"DTP-containing vaccine, 1st dose";"DTPCV1";30590114.0;27565962.0
"DIPHTHERIA";"Diphtheria";"AFR";2012.0;27.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";29882722.0;25929091.0
"DIPHTHERIA";"Diphtheria";"AFR";2012.0;27.0;"DTP-containing vaccine, 1st dose";"DTPCV1";29117678.0;28026502.0
"DIPHTHERIA";"Diphtheria";"AFR";2013.0;128.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";32895039.0;29295922.0
"DIPHTHERIA";"Diphtheria";"AFR";2013.0;128.0;"DTP-containing vaccine, 1st dose";"DTPCV1";32234504.0;31321744.0
"DIPHTHERIA";"Diphtheria";"AFR";2014.0;1.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";33873643.0;30733709.0
"DIPHTHERIA";"Diphtheria";"AFR";2014.0;1.0;"DTP-containing vaccine, 1st dose";"DTPCV1";33873643.0;33382745.0
"DIPHTHERIA";"Diphtheria";"AFR";2015.0;1654.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";27621014.0;25002457.0
"DIPHTHERIA";"Diphtheria";"AFR";2015.0;1654.0;"DTP-containing vaccine, 1st dose";"DTPCV1";27621018.0;26902703.0
"DIPHTHERIA";"Diphtheria";"AFR";2016.0;2870.0;"DTP-containing vaccine, 1st dose";"DTPCV1";28041887.0;26806495.0
"DIPHTHERIA";"Diphtheria";"AFR";2016.0;2870.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";28041886.0;25750400.0
"DIPHTHERIA";"Diphtheria";"AFR";2017.0;118.0;"DTP-containing vaccine, 1st dose";"DTPCV1";36288498.0;36548531.0
"DIPHTHERIA";"Diphtheria";"AFR";2017.0;118.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";36288498.0;34061585.0
"DIPHTHERIA";"Diphtheria";"AFR";2018.0;1971.0;"Diphtheria-containing vaccine, 4th dose (1st booster)";"DIPHCV4";2157139.0;1507541.0
"DIPHTHERIA";"Diphtheria";"AFR";2018.0;1971.0;"Diphtheria-containing vaccine, 6th dose (3rd booster)";"DIPHCV6";1097113.0;904915.0
"DIPHTHERIA";"Diphtheria";"AFR";2018.0;1971.0;"DTP-containing vaccine, 1st dose";"DTPCV1";37091361.0;36814306.0
"DIPHTHERIA";"Diphtheria";"AFR";2018.0;1971.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";37091361.0;34342576.0
"DIPHTHERIA";"Diphtheria";"AFR";2018.0;1971.0;"Diphtheria-containing vaccine, 5th dose (2nd booster)";"DIPHCV5";2361127.0;371990.0
"DIPHTHERIA";"Diphtheria";"AFR";2019.0;11400.0;"Diphtheria-containing vaccine, 5th dose (2nd booster)";"DIPHCV5";17077.0;16849.0
"DIPHTHERIA";"Diphtheria";"AFR";2019.0;11400.0;"Diphtheria-containing vaccine, 4th dose (1st booster)";"DIPHCV4";2175122.0;1492970.0
"DIPHTHERIA";"Diphtheria";"AFR";2019.0;11400.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";36798758.0;33733458.0
"DIPHTHERIA";"Diphtheria";"AFR";2019.0;11400.0;"DTP-containing vaccine, 1st dose";"DTPCV1";36798758.0;35958190.0
"DIPHTHERIA";"Diphtheria";"AFR";2020.0;5387.0;"Diphtheria-containing vaccine, 5th dose (2nd booster)";"DIPHCV5";4718174.0;422738.0
"DIPHTHERIA";"Diphtheria";"AFR";2020.0;5387.0;"Diphtheria-containing vaccine, 6th dose (3rd booster)";"DIPHCV6";1149824.0;190106.0
"DIPHTHERIA";"Diphtheria";"AFR";2020.0;5387.0;"Diphtheria-containing vaccine, 4th dose (1st booster)";"DIPHCV4";2121401.0;1466942.0
"DIPHTHERIA";"Diphtheria";"AFR";2020.0;5387.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";37811104.0;33834696.0
"DIPHTHERIA";"Diphtheria";"AFR";2020.0;5387.0;"DTP-containing vaccine, 1st dose";"DTPCV1";37811104.0;36026374.0
"DIPHTHERIA";"Diphtheria";"AFR";2021.0;4724.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";38580845.0;33711774.0
"DIPHTHERIA";"Diphtheria";"AFR";2021.0;4724.0;"DTP-containing vaccine, 1st dose";"DTPCV1";38580845.0;35910750.0
"DIPHTHERIA";"Diphtheria";"AFR";2021.0;4724.0;"Diphtheria-containing vaccine, 4th dose (1st booster)";"DIPHCV4";1788558.0;1257979.0
"DIPHTHERIA";"Diphtheria";"AFR";2021.0;4724.0;"Diphtheria-containing vaccine, 6th dose (3rd booster)";"DIPHCV6";11186452.0;174415.0
"DIPHTHERIA";"Diphtheria";"AFR";2021.0;4724.0;"Diphtheria-containing vaccine, 5th dose (2nd booster)";"DIPHCV5";4625842.0;406045.0
"DIPHTHERIA";"Diphtheria";"AFR";2022.0;4856.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";40455833.0;36047868.0
"DIPHTHERIA";"Diphtheria";"AFR";2022.0;4856.0;"DTP-containing vaccine, 1st dose";"DTPCV1";40455833.0;38464746.0
"DIPHTHERIA";"Diphtheria";"AFR";2022.0;4856.0;"Diphtheria-containing vaccine, 6th dose (3rd booster)";"DIPHCV6";1752463.0;653741.0
"DIPHTHERIA";"Diphtheria";"AFR";2022.0;4856.0;"Diphtheria-containing vaccine, 5th dose (2nd booster)";"DIPHCV5";4383452.0;1336226.0
"DIPHTHERIA";"Diphtheria";"AFR";2022.0;4856.0;"Diphtheria-containing vaccine, 4th dose (1st booster)";"DIPHCV4";4347857.0;2579171.0
"DIPHTHERIA";"Diphtheria";"AMR";1999.0;122.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";1589376.0;1222982.0
"DIPHTHERIA";"Diphtheria";"AMR";2000.0;113.0;"DTP-containing vaccine, 1st dose";"DTPCV1";29513542.0;9929858.0
"DIPHTHERIA";"Diphtheria";"AMR";2000.0;113.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";10972524.0;9807698.0
"DIPHTHERIA";"Diphtheria";"AMR";2001.0;68.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";8969036.0;7831049.0
"DIPHTHERIA";"Diphtheria";"AMR";2001.0;68.0;"DTP-containing vaccine, 1st dose";"DTPCV1";7386398.0;7026981.0
"DIPHTHERIA";"Diphtheria";"AMR";2002.0;128.0;"DTP-containing vaccine, 1st dose";"DTPCV1";6843905.0;6518746.0
"DIPHTHERIA";"Diphtheria";"AMR";2002.0;128.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";9472049.0;8442340.0
"DIPHTHERIA";"Diphtheria";"AMR";2003.0;99.0;"DTP-containing vaccine, 1st dose";"DTPCV1";8622980.0;8345364.0
"DIPHTHERIA";"Diphtheria";"AMR";2003.0;99.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";9570014.0;8702539.0
"DIPHTHERIA";"Diphtheria";"AMR";2004.0;181.0;"DTP-containing vaccine, 1st dose";"DTPCV1";7348206.0;7379391.0
"DIPHTHERIA";"Diphtheria";"AMR";2004.0;181.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";8812594.0;9102153.0
"DIPHTHERIA";"Diphtheria";"AMR";2005.0;71.0;"DTP-containing vaccine, 1st dose";"DTPCV1";10050304.0;9721160.0
"DIPHTHERIA";"Diphtheria";"AMR";2005.0;71.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";10061456.0;9665023.0
"DIPHTHERIA";"Diphtheria";"AMR";2006.0;30.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";9418082.0;8638173.0
"DIPHTHERIA";"Diphtheria";"AMR";2006.0;30.0;"DTP-containing vaccine, 1st dose";"DTPCV1";9374497.0;9199668.0
"DIPHTHERIA";"Diphtheria";"AMR";2007.0;14.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";9560523.0;8983544.0
"DIPHTHERIA";"Diphtheria";"AMR";2007.0;14.0;"DTP-containing vaccine, 1st dose";"DTPCV1";9431085.0;9184981.0
"DIPHTHERIA";"Diphtheria";"AMR";2008.0;95.0;"DTP-containing vaccine, 1st dose";"DTPCV1";9410204.0;8968804.0
"DIPHTHERIA";"Diphtheria";"AMR";2008.0;95.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";9404741.0;8569647.0
"DIPHTHERIA";"Diphtheria";"AMR";2009.0;11.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";9485336.0;8696147.0
"DIPHTHERIA";"Diphtheria";"AMR";2009.0;11.0;"DTP-containing vaccine, 1st dose";"DTPCV1";9462535.0;8928729.0
"DIPHTHERIA";"Diphtheria";"AMR";2010.0;87.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";10196043.0;9496219.0
"DIPHTHERIA";"Diphtheria";"AMR";2010.0;87.0;"DTP-containing vaccine, 1st dose";"DTPCV1";10121262.0;9623110.0
"DIPHTHERIA";"Diphtheria";"AMR";2011.0;12.0;"DTP-containing vaccine, 1st dose";"DTPCV1";10155681.0;9871970.0
"DIPHTHERIA";"Diphtheria";"AMR";2011.0;12.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";10147499.0;9511543.0
"DIPHTHERIA";"Diphtheria";"AMR";2012.0;2.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";10168805.0;9511102.0
"DIPHTHERIA";"Diphtheria";"AMR";2012.0;2.0;"DTP-containing vaccine, 1st dose";"DTPCV1";8215426.0;7999253.0
"DIPHTHERIA";"Diphtheria";"AMR";2013.0;5.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";10652009.0;9569514.0
"DIPHTHERIA";"Diphtheria";"AMR";2013.0;5.0;"DTP-containing vaccine, 1st dose";"DTPCV1";10629124.0;10098761.0
"DIPHTHERIA";"Diphtheria";"AMR";2014.0;10.0;"DTP-containing vaccine, 3rd dose";"DTPCV3";10575814.0;9333555.0
"DIPHTHERIA";"Diphtheria";"AMR";2014.0;10.0;"DTP-containing vaccine, 1st dose";"DTPCV1";8320810.0;7915112.0
