country,DISEASE,DISEASE_DESCRIPTION,WHO_zone,YEAR,Total_Cases,ANTIGEN_DESCRIPTION,ANTIGEN,Target,Doses
Guinea-Bissau,PERTUSSIS,Pertussis,AFR,1999,20,"DTP-containing vaccine, 3rd dose",DTPCV3,43996,2819
Eritrea,TTETANUS,"Total tetanus",AFR,1999,21,"DTP-containing vaccine, 3rd dose",DTPCV3,89376,50294
Eritrea,PERTUSSIS,Pertussis,AFR,1999,132,"DTP-containing vaccine, 3rd dose",DTPCV3,89376,50294
Eritrea,MEASLES,Measles,AFR,1999,320,"Measles-containing vaccine, 1st dose",MCV1,89376,49417
Eritrea,POLIO,Poliomyelitis,AFR,1999,7,"Polio, 3rd dose",POL3,89376,50294
Eritrea,TTETANUS,"Total tetanus",AFR,1999,21,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,111711,31060
Guinea,POLIO,Poliomyelitis,AFR,1999,22,"Polio, 3rd dose",POL3,311350,177357
Guinea,MEASLES,Measles,AFR,1999,18004,"Measles-containing vaccine, 1st dose",MCV1,311350,190055
Guinea,PERTUSSIS,Pertussis,AFR,1999,176,"DTP-containing vaccine, 3rd dose",DTPCV3,311350,177643
Guinea,TTETANUS,"Total tetanus",AFR,1999,287,"DTP-containing vaccine, 3rd dose",DTPCV3,311350,177643
Ethiopia,TTETANUS,"Total tetanus",AFR,1999,480,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1792355,618397
Ethiopia,POLIO,Poliomyelitis,AFR,1999,131,"Polio, 3rd dose",POL3,1625757,1047700
Ethiopia,MEASLES,Measles,AFR,1999,5329,"Measles-containing vaccine, 1st dose",MCV1,1625757,860095
Ethiopia,TTETANUS,"Total tetanus",AFR,1999,480,"DTP-containing vaccine, 3rd dose",DTPCV3,1625757,1046468
Ethiopia,DIPHTHERIA,Diphtheria,AFR,1999,125,"DTP-containing vaccine, 3rd dose",DTPCV3,1625757,1046468
Ethiopia,PERTUSSIS,Pertussis,AFR,1999,733,"DTP-containing vaccine, 3rd dose",DTPCV3,1625757,1046468
Ghana,TTETANUS,"Total tetanus",AFR,1999,185,"DTP-containing vaccine, 3rd dose",DTPCV3,776899,567197
Ghana,PERTUSSIS,Pertussis,AFR,1999,749,"DTP-containing vaccine, 3rd dose",DTPCV3,776899,567197
Ghana,MEASLES,Measles,AFR,1999,15987,"Measles-containing vaccine, 1st dose",MCV1,776899,554607
Ghana,POLIO,Poliomyelitis,AFR,1999,3,"Polio, 3rd dose",POL3,776899,570380
Ghana,TTETANUS,"Total tetanus",AFR,1999,185,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,3904336,834332
Gambia,TTETANUS,"Total tetanus",AFR,1999,1,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,473333,419373
Gambia,MEASLES,Measles,AFR,1999,856,"Measles-containing vaccine, 1st dose",MCV1,41204,36754
Gambia,PERTUSSIS,Pertussis,AFR,1999,5,"DTP-containing vaccine, 3rd dose",DTPCV3,41204,35106
Gambia,TTETANUS,"Total tetanus",AFR,1999,1,"DTP-containing vaccine, 3rd dose",DTPCV3,41204,35106
Benin,MEASLES,Measles,AFR,1999,2573,"Measles-containing vaccine, 1st dose",MCV1,267709,211667
Angola,MEASLES,Measles,AFR,1999,350,"Measles-containing vaccine, 1st dose",MCV1,586605,270370
Angola,POLIO,Poliomyelitis,AFR,1999,1103,"Polio, 3rd dose",POL3,807553,172370
Burundi,TTETANUS,"Total tetanus",AFR,1999,59,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1427690,31550
Benin,TTETANUS,"Total tetanus",AFR,1999,296,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,331306,223852
Benin,POLIO,Poliomyelitis,AFR,1999,37,"Polio, 3rd dose",POL3,267709,208376
Benin,PERTUSSIS,Pertussis,AFR,1999,45,"DTP-containing vaccine, 3rd dose",DTPCV3,267709,207044
Benin,TTETANUS,"Total tetanus",AFR,1999,296,"DTP-containing vaccine, 3rd dose",DTPCV3,267709,207044
Algeria,POLIO,Poliomyelitis,AFR,1999,10,"Polio, 3rd dose",POL3,581009,483372
Algeria,MEASLES,Measles,AFR,1999,2503,"Measles-containing vaccine, 2nd dose",MCV2,780605,652375
Algeria,MEASLES,Measles,AFR,1999,2503,"Measles-containing vaccine, 1st dose",MCV1,581009,455793
Algeria,DIPHTHERIA,Diphtheria,AFR,1999,17,"DTP-containing vaccine, 3rd dose",DTPCV3,581009,483372
Algeria,TTETANUS,"Total tetanus",AFR,1999,24,"DTP-containing vaccine, 3rd dose",DTPCV3,581009,483372
Algeria,PERTUSSIS,Pertussis,AFR,1999,4,"DTP-containing vaccine, 3rd dose",DTPCV3,581009,483372
"Cabo Verde",TTETANUS,"Total tetanus",AFR,1999,1,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,15382,7986
"Cabo Verde",MEASLES,Measles,AFR,1999,1,"Measles-containing vaccine, 1st dose",MCV1,14680,8915
"Cabo Verde",TTETANUS,"Total tetanus",AFR,1999,1,"DTP-containing vaccine, 3rd dose",DTPCV3,14680,10163
Liberia,POLIO,Poliomyelitis,AFR,1999,42,"Polio, 3rd dose",POL3,121764,30197
Liberia,MEASLES,Measles,AFR,1999,1679,"Measles-containing vaccine, 1st dose",MCV1,121764,42496
Liberia,PERTUSSIS,Pertussis,AFR,1999,394,"DTP-containing vaccine, 3rd dose",DTPCV3,121764,28127
Lesotho,MEASLES,Measles,AFR,1999,944,"Measles-containing vaccine, 1st dose",MCV1,68730,37475
Congo,POLIO,Poliomyelitis,AFR,1999,10,"Polio, 3rd dose",POL3,107609,31207
Congo,MEASLES,Measles,AFR,1999,313,"Measles-containing vaccine, 1st dose",MCV1,107609,24750
Congo,PERTUSSIS,Pertussis,AFR,1999,17,"DTP-containing vaccine, 3rd dose",DTPCV3,107609,31207
Cameroon,POLIO,Poliomyelitis,AFR,1999,1,"Polio, 3rd dose",POL3,553847,268360
Cameroon,MEASLES,Measles,AFR,1999,10894,"Measles-containing vaccine, 1st dose",MCV1,553847,253592
"Central African Republic",POLIO,Poliomyelitis,AFR,1999,18,"Polio, 3rd dose",POL3,1233315,40575
"Central African Republic",MEASLES,Measles,AFR,1999,600,"Measles-containing vaccine, 1st dose",MCV1,123315,46280
Botswana,PERTUSSIS,Pertussis,AFR,1999,15,"DTP-containing vaccine, 3rd dose",DTPCV3,49534,42110
Botswana,MEASLES,Measles,AFR,1999,439,"Measles-containing vaccine, 1st dose",MCV1,49534,36531
"Democratic Republic of the Congo",POLIO,Poliomyelitis,AFR,1999,45,"Polio, 3rd dose",POL3,2189363,356410
"Democratic Republic of the Congo",MEASLES,Measles,AFR,1999,12135,"Measles-containing vaccine, 1st dose",MCV1,2189363,329670
"Democratic Republic of the Congo",PERTUSSIS,Pertussis,AFR,1999,150,"DTP-containing vaccine, 3rd dose",DTPCV3,2189363,339376
Uganda,MEASLES,Measles,AFR,1999,42737,"Measles-containing vaccine, 1st dose",MCV1,968154,509867
Uganda,TTETANUS,"Total tetanus",AFR,1999,339,"DTP-containing vaccine, 3rd dose",DTPCV3,968154,495337
Uganda,TTETANUS,"Total tetanus",AFR,1999,339,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1071149,426056
"United Republic of Tanzania",MEASLES,Measles,AFR,1999,5887,"Measles-containing vaccine, 1st dose",MCV1,1279401,921776
Malawi,TTETANUS,"Total tetanus",AFR,1999,6,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,400896,241001
Malawi,MEASLES,Measles,AFR,1999,152,"Measles-containing vaccine, 1st dose",MCV1,400896,315496
Malawi,TTETANUS,"Total tetanus",AFR,1999,6,"DTP-containing vaccine, 3rd dose",DTPCV3,400896,325822
Niger,TTETANUS,"Total tetanus",AFR,1999,201,"DTP-containing vaccine, 3rd dose",DTPCV3,507174,108236
Niger,PERTUSSIS,Pertussis,AFR,1999,2446,"DTP-containing vaccine, 3rd dose",DTPCV3,507174,108236
Niger,MEASLES,Measles,AFR,1999,36156,"Measles-containing vaccine, 1st dose",MCV1,183446,128094
Niger,POLIO,Poliomyelitis,AFR,1999,56,"Polio, 3rd dose",POL3,507174,108286
Niger,TTETANUS,"Total tetanus",AFR,1999,201,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,2374008,228025
Mozambique,TTETANUS,"Total tetanus",AFR,1999,57,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,842033,445448
Mozambique,MEASLES,Measles,AFR,1999,3936,"Measles-containing vaccine, 1st dose",MCV1,623104,559446
Mozambique,TTETANUS,"Total tetanus",AFR,1999,57,"DTP-containing vaccine, 3rd dose",DTPCV3,623104,503164
Mozambique,PERTUSSIS,Pertussis,AFR,1999,82,"DTP-containing vaccine, 3rd dose",DTPCV3,623104,503164
"Burkina Faso",YFEVER,"Yellow fever",AFR,1999,3,"Yellow fever vaccine",YFV,476682,240011
"Burkina Faso",TTETANUS,"Total tetanus",AFR,1999,31,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,570272,171870
"Burkina Faso",POLIO,Poliomyelitis,AFR,1999,5,"Polio, 3rd dose",POL3,476682,198790
"Burkina Faso",MEASLES,Measles,AFR,1999,5516,"Measles-containing vaccine, 1st dose",MCV1,476682,252382
"Burkina Faso",PERTUSSIS,Pertussis,AFR,1999,340,"DTP-containing vaccine, 3rd dose",DTPCV3,476682,198790
"Burkina Faso",TTETANUS,"Total tetanus",AFR,1999,31,"DTP-containing vaccine, 3rd dose",DTPCV3,476682,198790
Togo,POLIO,Poliomyelitis,AFR,1999,1,"Polio, 3rd dose",POL3,193059,92934
Togo,MEASLES,Measles,AFR,1999,2540,"Measles-containing vaccine, 1st dose",MCV1,193059,90249
Togo,PERTUSSIS,Pertussis,AFR,1999,241,"DTP-containing vaccine, 3rd dose",DTPCV3,193059,92509
Chad,MEASLES,Measles,AFR,1999,6868,"Measles-containing vaccine, 1st dose",MCV1,262162,120917
Chad,POLIO,Poliomyelitis,AFR,1999,110,"Polio, 3rd dose",POL3,262162,88089
Seychelles,MEASLES,Measles,AFR,1999,2,"Measles-containing vaccine, 1st dose",MCV1,1450,1327
Senegal,MEASLES,Measles,AFR,1999,3668,"Measles-containing vaccine, 1st dose",MCV1,133152,34238
Senegal,PERTUSSIS,Pertussis,AFR,1999,30,"DTP-containing vaccine, 3rd dose",DTPCV3,133152,37400
Rwanda,PERTUSSIS,Pertussis,AFR,1999,561,"DTP-containing vaccine, 3rd dose",DTPCV3,350449,165761
Rwanda,TTETANUS,"Total tetanus",AFR,1999,24,"DTP-containing vaccine, 3rd dose",DTPCV3,350449,165761
Rwanda,MEASLES,Measles,AFR,1999,4359,"Measles-containing vaccine, 1st dose",MCV1,350449,138968
Rwanda,POLIO,Poliomyelitis,AFR,1999,29,"Polio, 3rd dose",POL3,350449,165761
Rwanda,TTETANUS,"Total tetanus",AFR,1999,24,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,393186,228626
Rwanda,TTETANUS,"Total tetanus",AFR,2000,10,"DTP-containing vaccine, 1st dose",DTPCV1,348033,227800
"Sierra Leone",TTETANUS,"Total tetanus",AFR,2000,36,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,280333,56071
Senegal,MEASLES,Measles,AFR,2000,5839,"Measles-containing vaccine, 1st dose",MCV1,359686,32284
Rwanda,MEASLES,Measles,AFR,2000,2095,"Measles-containing vaccine, 1st dose",MCV1,387783,157013
Rwanda,TTETANUS,"Total tetanus",AFR,2000,10,"DTP-containing vaccine, 3rd dose",DTPCV3,340973,215498
Liberia,MEASLES,Measles,AFR,2000,5977,"Measles-containing vaccine, 1st dose",MCV1,168000,19710
Liberia,PERTUSSIS,Pertussis,AFR,2000,281,"DTP-containing vaccine, 3rd dose",DTPCV3,168000,81448
Ghana,TTETANUS,"Total tetanus",AFR,2000,219,"DTP-containing vaccine, 3rd dose",DTPCV3,729235,617387
Ghana,PERTUSSIS,Pertussis,AFR,2000,636,"DTP-containing vaccine, 3rd dose",DTPCV3,729235,617387
Gambia,TTETANUS,"Total tetanus",AFR,2000,2,"DTP-containing vaccine, 1st dose",DTPCV1,55385,49293
Gambia,TTETANUS,"Total tetanus",AFR,2000,2,"DTP-containing vaccine, 3rd dose",DTPCV3,55385,48185
Gambia,MEASLES,Measles,AFR,2000,336,"Measles-containing vaccine, 1st dose",MCV1,55385,48185
Gambia,POLIO,Poliomyelitis,AFR,2000,6,"Polio, 3rd dose",POL3,55385,48185
Gambia,TTETANUS,"Total tetanus",AFR,2000,2,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,584209,525788
Eritrea,PERTUSSIS,Pertussis,AFR,2000,152,"DTP-containing vaccine, 1st dose",DTPCV1,87463,51800
Eritrea,TTETANUS,"Total tetanus",AFR,2000,11,"DTP-containing vaccine, 1st dose",DTPCV1,87463,51800
Eritrea,PERTUSSIS,Pertussis,AFR,2000,152,"DTP-containing vaccine, 3rd dose",DTPCV3,87463,45444
Eritrea,TTETANUS,"Total tetanus",AFR,2000,11,"DTP-containing vaccine, 3rd dose",DTPCV3,87463,45444
Eritrea,MEASLES,Measles,AFR,2000,789,"Measles-containing vaccine, 1st dose",MCV1,87463,43282
Eritrea,POLIO,Poliomyelitis,AFR,2000,8,"Polio, 3rd dose",POL3,87463,45444
Eritrea,TTETANUS,"Total tetanus",AFR,2000,11,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,109326,26910
Guinea,TTETANUS,"Total tetanus",AFR,2000,245,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,360077,151232
Guinea,NTETANUS,"Neonatal tetanus",AFR,2000,245,"Protection at birth (PAB) against neonatal tetanus",PAB,320068,151232
Ghana,TTETANUS,"Total tetanus",AFR,2000,219,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,736490,537606
Ghana,POLIO,Poliomyelitis,AFR,2000,104,"Polio, 3rd dose",POL3,729235,613089
Ghana,MEASLES,Measles,AFR,2000,23068,"Measles-containing vaccine, 1st dose",MCV1,729235,616847
Ghana,TTETANUS,"Total tetanus",AFR,2000,219,"DTP-containing vaccine, 1st dose",DTPCV1,729235,619915
Ghana,PERTUSSIS,Pertussis,AFR,2000,636,"DTP-containing vaccine, 1st dose",DTPCV1,729235,619915
Gabon,MEASLES,Measles,AFR,2000,15,"Measles-containing vaccine, 1st dose",MCV1,48534,13077
Guinea,MEASLES,Measles,AFR,2000,11294,"Measles-containing vaccine, 1st dose",MCV1,320068,190120
Ethiopia,MEASLES,Measles,AFR,2000,1660,"Measles-containing vaccine, 1st dose",MCV1,2683226,996412
Ethiopia,POLIO,Poliomyelitis,AFR,2000,152,"Polio, 3rd dose",POL3,2683226,1126585
Guinea,PERTUSSIS,Pertussis,AFR,2000,247,"DTP-containing vaccine, 3rd dose",DTPCV3,320068,183399
Guinea,TTETANUS,"Total tetanus",AFR,2000,245,"DTP-containing vaccine, 3rd dose",DTPCV3,320068,183399
Guinea,PERTUSSIS,Pertussis,AFR,2000,247,"DTP-containing vaccine, 1st dose",DTPCV1,320068,214446
Guinea,TTETANUS,"Total tetanus",AFR,2000,245,"DTP-containing vaccine, 1st dose",DTPCV1,320068,214446
Zimbabwe,TTETANUS,"Total tetanus",AFR,2000,28,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,630905,373655
Zambia,TTETANUS,"Total tetanus",AFR,2000,193,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,589787,364057
Zimbabwe,MEASLES,Measles,AFR,2000,1483,"Measles-containing vaccine, 1st dose",MCV1,443287,292147
Zimbabwe,PERTUSSIS,Pertussis,AFR,2000,8,"DTP-containing vaccine, 3rd dose",DTPCV3,443287,104908
Zimbabwe,TTETANUS,"Total tetanus",AFR,2000,28,"DTP-containing vaccine, 3rd dose",DTPCV3,443287,104908
Zimbabwe,PERTUSSIS,Pertussis,AFR,2000,8,"DTP-containing vaccine, 1st dose",DTPCV1,443287,117485
Zimbabwe,TTETANUS,"Total tetanus",AFR,2000,28,"DTP-containing vaccine, 1st dose",DTPCV1,443287,117485
Zambia,MEASLES,Measles,AFR,2000,30930,"Measles-containing vaccine, 1st dose",MCV1,335452,254623
Zambia,TTETANUS,"Total tetanus",AFR,2000,193,"DTP-containing vaccine, 3rd dose",DTPCV3,426838,408314
Madagascar,TTETANUS,"Total tetanus",AFR,2000,54,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,666262,269916
Madagascar,MEASLES,Measles,AFR,2000,35256,"Measles-containing vaccine, 1st dose",MCV1,592313,479843
Madagascar,TTETANUS,"Total tetanus",AFR,2000,54,"DTP-containing vaccine, 3rd dose",DTPCV3,592313,474409
Madagascar,DIPHTHERIA,Diphtheria,AFR,2000,12,"DTP-containing vaccine, 3rd dose",DTPCV3,592313,474409
Madagascar,PERTUSSIS,Pertussis,AFR,2000,3880,"DTP-containing vaccine, 3rd dose",DTPCV3,592313,474409
Madagascar,TTETANUS,"Total tetanus",AFR,2000,54,"DTP-containing vaccine, 1st dose",DTPCV1,592313,509175
Madagascar,DIPHTHERIA,Diphtheria,AFR,2000,12,"DTP-containing vaccine, 1st dose",DTPCV1,592313,509175
Madagascar,PERTUSSIS,Pertussis,AFR,2000,3880,"DTP-containing vaccine, 1st dose",DTPCV1,592313,509175
Mali,TTETANUS,"Total tetanus",AFR,2000,168,"DTP-containing vaccine, 1st dose",DTPCV1,410585,321935
Mali,TTETANUS,"Total tetanus",AFR,2000,168,"DTP-containing vaccine, 3rd dose",DTPCV3,410585,220596
Mali,MEASLES,Measles,AFR,2000,1578,"Measles-containing vaccine, 1st dose",MCV1,410585,225954
"Cabo Verde",TTETANUS,"Total tetanus",AFR,2000,2,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,NULL,7792
"Cabo Verde",POLIO,Poliomyelitis,AFR,2000,56,"Polio, 3rd dose",POL3,15018,10086
"Cabo Verde",NTETANUS,"Neonatal tetanus",AFR,2000,1,"Protection at birth (PAB) against neonatal tetanus",PAB,15018,10731
"Cabo Verde",MEASLES,Measles,AFR,2000,2,"Measles-containing vaccine, 1st dose",MCV1,15018,8809
"Cabo Verde",TTETANUS,"Total tetanus",AFR,2000,2,"DTP-containing vaccine, 3rd dose",DTPCV3,15018,10143
"Cabo Verde",TTETANUS,"Total tetanus",AFR,2000,2,"DTP-containing vaccine, 1st dose",DTPCV1,15018,10731
Benin,PERTUSSIS,Pertussis,AFR,2000,215,"DTP-containing vaccine, 1st dose",DTPCV1,240460,240460
Benin,TTETANUS,"Total tetanus",AFR,2000,288,"DTP-containing vaccine, 1st dose",DTPCV1,240460,240460
Benin,PERTUSSIS,Pertussis,AFR,2000,215,"DTP-containing vaccine, 3rd dose",DTPCV3,240460,211605
Benin,TTETANUS,"Total tetanus",AFR,2000,288,"DTP-containing vaccine, 3rd dose",DTPCV3,240460,211605
Benin,MEASLES,Measles,AFR,2000,4244,"Measles-containing vaccine, 1st dose",MCV1,240460,204391
Benin,POLIO,Poliomyelitis,AFR,2000,1,"Polio, 3rd dose",POL3,240460,211605
Benin,TTETANUS,"Total tetanus",AFR,2000,288,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,253284,205160
Burundi,MEASLES,Measles,AFR,2000,18363,"Measles-containing vaccine, 1st dose",MCV1,267674,152574
Burundi,TTETANUS,"Total tetanus",AFR,2000,33,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,298799,83634
Burundi,PERTUSSIS,Pertussis,AFR,2000,72,"DTP-containing vaccine, 3rd dose",DTPCV3,267674,173311
Burundi,TTETANUS,"Total tetanus",AFR,2000,33,"DTP-containing vaccine, 3rd dose",DTPCV3,267674,173311
Burundi,PERTUSSIS,Pertussis,AFR,2000,72,"DTP-containing vaccine, 1st dose",DTPCV1,267674,200075
Burundi,TTETANUS,"Total tetanus",AFR,2000,33,"DTP-containing vaccine, 1st dose",DTPCV1,267674,200075
Angola,PERTUSSIS,Pertussis,AFR,2000,560,"DTP-containing vaccine, 1st dose",DTPCV1,603028,268069
Angola,PERTUSSIS,Pertussis,AFR,2000,560,"DTP-containing vaccine, 3rd dose",DTPCV3,603024,187478
Angola,POLIO,Poliomyelitis,AFR,2000,115,"Polio, 3rd dose",POL3,603028,200217
Eswatini,MEASLES,Measles,AFR,2000,10,"Measles-containing vaccine, 1st dose",MCV1,26564,21239
Togo,PERTUSSIS,Pertussis,AFR,2000,115,"DTP-containing vaccine, 1st dose",DTPCV1,199443,143734
Togo,PERTUSSIS,Pertussis,AFR,2000,115,"DTP-containing vaccine, 3rd dose",DTPCV3,199443,109434
Togo,MEASLES,Measles,AFR,2000,3578,"Measles-containing vaccine, 1st dose",MCV1,199443,113213
Chad,POLIO,Poliomyelitis,AFR,2000,60,"Polio, 3rd dose",POL3,268904,76206
Chad,MEASLES,Measles,AFR,2000,3546,"Measles-containing vaccine, 1st dose",MCV1,268904,112177
Uganda,TTETANUS,"Total tetanus",AFR,2000,710,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1100263,463047
"United Republic of Tanzania",MEASLES,Measles,AFR,2000,14649,"Measles-containing vaccine, 1st dose",MCV1,1335631,1045054
Uganda,MEASLES,Measles,AFR,2000,42554,"Measles-containing vaccine, 1st dose",MCV1,994469,560647
Uganda,TTETANUS,"Total tetanus",AFR,2000,710,"DTP-containing vaccine, 3rd dose",DTPCV3,994469,529013
Uganda,TTETANUS,"Total tetanus",AFR,2000,710,"DTP-containing vaccine, 1st dose",DTPCV1,994469,719732
"Democratic Republic of the Congo",TTETANUS,"Total tetanus",AFR,2000,77,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1268509,318846
"Democratic Republic of the Congo",POLIO,Poliomyelitis,AFR,2000,603,"Polio, 3rd dose",POL3,1268509,536403
"Democratic Republic of the Congo",MEASLES,Measles,AFR,2000,8282,"Measles-containing vaccine, 1st dose",MCV1,1268509,585197
"Democratic Republic of the Congo",PERTUSSIS,Pertussis,AFR,2000,75,"DTP-containing vaccine, 3rd dose",DTPCV3,1268509,509748
"Democratic Republic of the Congo",TTETANUS,"Total tetanus",AFR,2000,77,"DTP-containing vaccine, 3rd dose",DTPCV3,1268509,509748
"Democratic Republic of the Congo",PERTUSSIS,Pertussis,AFR,2000,75,"DTP-containing vaccine, 1st dose",DTPCV1,1268509,616023
"Democratic Republic of the Congo",TTETANUS,"Total tetanus",AFR,2000,77,"DTP-containing vaccine, 1st dose",DTPCV1,1268509,616023
"Central African Republic",TTETANUS,"Total tetanus",AFR,2000,37,"DTP-containing vaccine, 3rd dose",DTPCV3,124698,36157
"Central African Republic",MEASLES,Measles,AFR,2000,3207,"Measles-containing vaccine, 1st dose",MCV1,124698,41776
"Central African Republic",TTETANUS,"Total tetanus",AFR,2000,37,"DTP-containing vaccine, 1st dose",DTPCV1,124698,56145
Congo,MEASLES,Measles,AFR,2000,1678,"Measles-containing vaccine, 1st dose",MCV1,107609,36632
Botswana,MEASLES,Measles,AFR,2000,2672,"Measles-containing vaccine, 1st dose",MCV1,53077,44772
Botswana,DIPHTHERIA,Diphtheria,AFR,2000,2,"DTP-containing vaccine, 3rd dose",DTPCV3,53077,45103
Botswana,DIPHTHERIA,Diphtheria,AFR,2000,2,"DTP-containing vaccine, 1st dose",DTPCV1,53077,49787
Cameroon,TTETANUS,"Total tetanus",AFR,2000,279,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,760846,303082
Cameroon,MEASLES,Measles,AFR,2000,14629,"Measles-containing vaccine, 1st dose",MCV1,608677,300808
Cameroon,TTETANUS,"Total tetanus",AFR,2000,279,"DTP-containing vaccine, 3rd dose",DTPCV3,608677,326027
"Central African Republic",POLIO,Poliomyelitis,AFR,2000,3,"Polio, 3rd dose",POL3,124698,39154
"Central African Republic",TTETANUS,"Total tetanus",AFR,2000,37,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,94780,18812
Cameroon,TTETANUS,"Total tetanus",AFR,2000,279,"DTP-containing vaccine, 1st dose",DTPCV1,608677,376871
"Côte d'Ivoire",MEASLES,Measles,AFR,2000,5729,"Measles-containing vaccine, 1st dose",MCV1,744118,461353
"Côte d'Ivoire",POLIO,Poliomyelitis,AFR,2000,1,"Polio, 3rd dose",POL3,744118,453912
